date,short_day
2021-01-01,True
2021-01-03,False
2021-01-04,False
2021-01-05,False
2021-01-06,False
2021-01-07,False
2021-01-08,True
2021-01-10,False
2021-01-11,False
2021-01-12,False
2021-01-13,False
2021-01-14,False
2021-01-15,True
2021-01-17,False
2021-01-18,False
2021-01-19,False
2021-01-20,False
2021-01-21,False
2021-01-22,True
2021-01-24,False
2021-01-25,False
2021-01-26,False
2021-01-27,False
2021-01-28,False
2021-01-29,True
2021-01-30,True
2021-01-31,False
2021-02-01,False
2021-02-02,False
2021-02-03,False
2021-02-04,False
2021-02-05,True
2021-02-07,False
2021-02-08,False
2021-02-09,False
2021-02-10,False
2021-02-11,False
2021-02-12,True
2021-02-14,False
2021-02-15,False
2021-02-16,False
2021-02-17,False
2021-02-18,False
2021-02-19,True
2021-02-21,False
2021-02-22,False
2021-02-23,False
2021-02-24,False
2021-02-25,False
2021-02-26,True
2021-02-28,False
2021-03-01,False
2021-03-02,False
2021-03-03,False
2021-03-04,False
2021-03-05,True
2021-03-07,False
2021-03-08,False
2021-03-09,False
2021-03-10,False
2021-03-11,False
2021-03-12,True
2021-03-14,False
2021-03-15,False
2021-03-16,False
2021-03-17,False
2021-03-18,False
2021-03-19,True
2021-03-21,False
2021-03-22,False
2021-03-24,False
2021-03-25,False
2021-03-26,True
2021-03-29,False
2021-03-30,False
2021-03-31,False
2021-04-01,False
2021-04-02,True
2021-04-04,False
2021-04-05,False
2021-04-06,False
2021-04-07,False
2021-04-08,False
2021-04-09,True
2021-04-11,False
2021-04-12,False
2021-04-13,False
2021-04-14,False
2021-04-16,True
2021-04-18,False
2021-04-19,False
2021-04-20,False
2021-04-21,False
2021-04-22,False
2021-04-23,True
2021-04-25,False
2021-04-26,False
2021-04-27,False
2021-04-28,False
2021-04-29,False
2021-04-30,True
2021-05-02,False
2021-05-03,False
2021-05-04,False
2021-05-05,False
2021-05-06,False
2021-05-07,True
2021-05-09,False
2021-05-10,False
2021-05-11,False
2021-05-12,False
2021-05-13,False
2021-05-14,True
2021-05-16,False
2021-05-18,False
2021-05-19,False
2021-05-20,False
2021-05-21,True
2021-05-23,False
2021-05-24,False
2021-05-25,False
2021-05-26,False
2021-05-27,False
2021-05-28,True
2021-05-30,False
