"location","aisle","x_length","y_width","z_height","heightfromfloor","cell_attractiveness","distance_from_io_to_aisle","fetch_tool","putaway_zone","fetch_zone","cell_volume","available_volume"
"010101",1,1.275,-24.798750000000002,0.0,0.25,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010102",1,1.3660714285714286,-24.798750000000002,0.0,0.55,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010103",1,1.275,-24.798750000000002,0.0,0.8499999999999999,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010104",1,1.275,-24.798750000000002,0.0,1.15,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010105",1,1.3660714285714286,-24.798750000000002,0.0,1.45,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010106",1,1.3660714285714286,-24.798750000000002,0.0,1.75,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010107",1,1.275,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010108",1,1.59375,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.8636132812499998,0.8636132812499998
"010109",1,1.275,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010110",1,1.275,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010111",1,1.275,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010112",1,1.275,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010201",1,1.275,-24.798750000000002,0.0,0.25,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010202",1,1.4711538461538463,-24.798750000000002,0.0,0.55,0.027571068405411354,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010203",1,1.275,-24.798750000000002,0.0,0.8499999999999999,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010204",1,1.4711538461538463,-24.798750000000002,0.0,1.15,0.027571068405411354,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010205",1,1.275,-24.798750000000002,0.0,1.45,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010206",1,1.59375,-24.798750000000002,0.0,1.75,0.027478189187332556,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.6096093749999999,0.6096093749999999
"010207",1,1.275,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010208",1,1.7386363636363635,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.9421235795454543,0.9421235795454543
"010209",1,1.275,-24.798750000000002,3.45,3.45,0.00028696061716619933,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.38178125,1.38178125
"010211",1,1.275,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",1.38178125,1.38178125
"010213",1,1.275,-24.798750000000002,4.95,4.95,0.00020060990426143082,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010215",1,1.275,-24.798750000000002,5.6000000000000005,5.6000000000000005,0.00017746862742879679,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010217",1,1.275,-24.798750000000002,6.250000000000001,6.250000000000001,0.0001591140845997654,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010219",1,1.275,-24.798750000000002,6.900000000000001,6.900000000000001,0.00014420029132063852,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010221",1,1.275,-24.798750000000002,7.550000000000002,7.550000000000002,0.0001318426543617917,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010223",1,1.275,-24.798750000000002,8.200000000000003,8.200000000000003,0.00012143587601336336,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",1.0566562499999999,1.0566562499999999
"010224",1,1.275,-24.798750000000002,8.65,8.65,0.00011514371590936405,34.79875,"ORDER_PICKER","OPT-A-01-04","OPT01-04-LOW",0.73153125,0.73153125
