placement,1,2,3,4,5
1,140.4625,84.18518518518519,38.95925925925926,157.69953703703703,81.93055555555556
2,134.12285714285716,78.41000000000001,33.69285714285714,167.09238095238095,91.71285714285713
3,141.66809523809525,81.19333333333334,37.80809523809524,157.35,81.67380952380952
4,133.87809523809523,77.22095238095238,33.98904761904762,169.7595238095238,93.18619047619048
5,148.91587301587302,89.2095238095238,52.14047619047619,157.7452380952381,82.92777777777778
6,149.76190476190476,92.71031746031746,47.90714285714286,157.0857142857143,82.05555555555556
7,150.43650793650795,93.01666666666667,48.06507936507936,154.95,85.11904761904762
Current,132.17129629629628,74.20370370370371,32.56203703703704,161.59675925925924,100.13796296296296
