UUID,quantity
A001042,4
A001043,2
A001046,2
A001049,1
A001050,2
A001051,2
A001052,1
A001053,2
A001055,1
A001056,1
A001057,1
A001058,2
A001061,2
A001062,4
A001063,1
A001064,2
A001064,2
A001066,3
A001067,2
A001068,1
A001069,1
A001070,1
A001072,1
A001073,2
A001074,1
A001076,1
A001077,1
A001092,3
A001092,1
A001094,1
A001095,2
A001098,1
A001100,4
A001101,3
A001102,2
A001105,2
A001106,4
A001107,1
A001108,3
A001109,1
A001113,6
A001114,1
A001116,6
A001119,5
A001120,1
A001127,1
A001129,24
A001130,20
A001131,40
A001132,169
A001133,11
A001135,5
A001137,4
A001140,20
A001140,4
A001143,12
A001147,10
A001149,6
A001150,56
A001151,6
A001154,10
A001154,1
A001156,4
A001157,3
A001158,2
A001159,2
A001163,2
A001165,2
A001165,2
A001169,2
A001170,5
A001171,3
A001171,3
A001172,38
A001175,36
A001176,1
A001177,2
A001178,6
A001179,2
A001179,1
A001180,1
A001181,2
A001183,7
A001185,2
A001189,4
A001190,9
A001192,10
A001192,1
A001193,15
A001194,4
A001195,30
A001196,50
A001196,4
A001199,5
A001205,34
A001206,79
A001207,1
A001208,76
A001209,12
A001213,5
A001215,15
A001215,6
A001216,18
A001220,51
A001221,31
A001222,85
A001225,20
A001225,2
A001226,51
A001228,1
A001229,5
A001229,2
A001230,7
A001231,2
A001232,16
A001235,5
A001240,3
A001243,36
A001244,205
A001245,15
A001246,20
A001247,581
A001247,2
A001248,210
A001249,80
A001250,7
A001251,15
A001252,138
A001255,1
A001256,20
A001262,25
A001263,3
A001264,23
A001265,4
A001266,9
A001267,7
A001268,5
A001269,30
A001269,4
A001272,3
A001273,60
A001274,3
A001275,8
A001276,6
A001278,1
A001279,1
A001280,1
A001284,6
A001287,6
A001288,3
A001290,50
A001291,194
A001291,2
A001296,20
A001296,18
A001298,11
A001299,4
A001300,11
A001302,7
A001304,25
A001306,3
A001309,17
A001310,12
A001313,3
A001314,4
A001315,30
A001316,14
A001317,5
A001319,2
A001321,40
A001322,32
A001323,16
A001323,3
A001324,3
A001325,1
A001326,1
A001327,8
A001329,4
A001330,5
A001331,2
A001332,3
A001333,28
A001333,1
A001337,82
A001339,6
A001341,21
A001342,23
A001344,49
A001345,38
A001346,1
A001347,30
A001348,3
A001349,6
A001350,29
A001351,70
A001352,2
A001353,2
A001357,1
A001360,4
A001361,15
A001365,42
A001365,3
A001366,1
A001367,4
A001368,30
A001368,4
A001369,15
A001369,60
A001370,254
A001372,40
A001372,10
A001374,8
A001375,2
A001376,20
A001377,7
A001378,15
A001378,12
A001380,1
A001385,2
A001393,1
A001393,5
A001395,24
A001410,61
A001421,3
A001422,32
A001427,3
A001428,39
A001430,45
A001431,3
A001431,2
A001432,130
A001436,12
A001437,14
A001440,17
A001441,5
A001444,2
A001446,7
A001446,5
A001448,10
A001448,1
A001449,41
A001451,23
A001453,9
A001454,1
A001455,4
A001460,20
A001465,5
A001469,2
A001470,20
A001472,1
A001473,8
A001474,2
A001476,2
A001480,40
A001481,6
A001482,85
A001482,2
A001484,4
A001486,4
A001486,1
A001487,5
A001487,10
A001490,2
A001492,5
A001496,1
A001497,3
A001500,1
A001505,6
A001508,1
A001514,5
A001515,2
A001516,22
A001518,3
A001522,2
A001526,2
A001527,30
A001528,6
A001536,2
A001537,22
A001539,13
A001540,10
A001541,5
A001542,6
A001543,10
A001545,6
A001548,4
A001549,6
A001551,1
A001562,4
A001567,2
A001568,32
A001571,1
A001574,33
A001576,3
A001579,91
A001580,3
A001581,100
A001582,1
A001583,14
A001586,2
A001588,7
A001590,1
A001592,3
A001593,2
A001596,4
A001598,1
A001599,8
A001600,2
A001605,2
A001606,8
A001607,16
A001608,19
A001609,10
A001610,11
A001611,14
A001616,13
A001618,7
A001619,1
A001621,1
A001622,9
A001625,24
A001629,2
A001630,20
A001632,20
A001633,40
A001634,20
A001635,150
A001640,54
A001641,148
A001646,81
A001649,1
A001651,11
A001654,350
A001655,700
A001656,30
A001658,433
A001662,500
A001666,686
A001667,1990
A001668,640
A001668,2
A001675,365
A001676,17
A001678,140
A001679,190
A001682,20
A001682,5
A001687,50
A001691,340
A001697,12
A001702,18
A001704,3
A001705,55
A001717,62
A001720,1
A001725,140
A001727,646
A001728,90
A001730,2244
A001731,26
A001732,100
A001733,20
A001738,17
A001739,11
A001740,1
A001741,10
A001743,70
A001744,5
A001746,5
A001749,5
A001749,2
A001756,6
A001757,5
A001758,5
A001759,5
A001760,5
A001761,5
A001762,5
A001763,5
A001764,5
A001765,10
A001766,4
A001767,5
A001768,5
A001769,5
A001771,5
A001771,5
A001772,5
A001773,5
A001774,5
A001780,5
A001781,5
A001785,1
A001786,3
A001786,1
A001787,7
A001793,6
A001794,1
A001800,2
A001801,1
A001801,9
A001805,1
A001808,2
A001809,2
A001814,2
A001817,1
A001817,1
A001818,171
A001818,140
A001820,160
A001820,240
A001821,42
A001821,1
A001822,53
A001823,50
A001824,144
A001824,1
A001826,53
A001826,2
A001827,51
A001828,47
A001829,1
A001830,3
A001831,2
A001832,8
A001835,4
A001836,2
A001838,4
A001840,1
A001841,10
A001843,1
A001846,1
A001849,5
A001853,2
A001859,5
A001862,2
A001864,2
A001865,1
A001866,1
A001867,2
A001868,5
A001869,1
A001873,4
A001880,1
A001882,7
A001883,6
A001884,7
A001885,21
A001886,24
A001887,2
A001888,1
A001890,2
A001891,1
A001892,1
A001893,8
A001894,13
A001895,15
A001897,21
A001898,20
A001899,2
A001900,2
A001901,2
A001902,1
A001903,2
A001904,2
A001907,2
A001908,3
A001911,1
A001912,3
A001921,1
A001922,3
A001923,1
A001925,3
A001925,2
A001926,7
A001927,2
A001928,4
A001929,1
A001932,1
A001934,9
A001934,3
A001935,11
A001936,9
A001942,1
A001943,2
A001945,2
A001950,1
A001951,2
A001955,4
A001958,29
A001958,3
A001964,1
A001965,2
A001965,-4
A001966,22
A001967,2
A001968,3
A001973,6
A001975,1
A001976,5
A001977,3
A001978,24
A001979,2
A001981,2
A001982,1
A001983,2
A001991,1
A001992,3
A001993,1
A001995,1
A001996,1
A001997,29
A002001,1
A002002,2
A002003,1
A002004,2
A002005,2
A002010,3
A002011,5
A002013,19
A002014,2
A002015,14
A002018,3
A002019,2
A002021,2
A002026,1
A002026,1
A002027,1
A002028,24
A002033,24
A002034,1
A002035,1
A002036,1
A002037,1
A002039,1
A002046,1
A002046,1
A002050,8
A002053,3
A002055,1
A002058,2
A002059,1
A002064,1
A002067,1
A002068,1
A002071,2
A002072,1
A002074,1
A002084,3
A002085,4
A002087,1
A002099,3
A002101,5
A002102,1
A002103,1
A002103,7
A002104,1
A002105,1
A002109,1
A002111,2
A002114,28
A002115,8
A002115,7
A002116,4
A002118,1
A002118,2
A002120,203
A002121,3
A002122,4
A002122,84
A002123,1
A002124,1
A002124,1
A002127,1
A002128,2
A002129,1
A002130,11
A002135,9
A002137,5
A002140,1
A002141,3
A002142,9
A002143,3
A002144,9
A002145,2
A002146,1
A002147,1
A002147,1
A002150,6
A002151,1
A002152,34
A002153,1
A002154,2
A002157,2
A002158,2
A002159,2
A002161,1
A002164,1
A002165,1
A002166,1
A002167,1
A002168,1
A002169,1
A002170,1
A002172,1
A002173,1
A002174,1
A002175,1
A002176,1
A002177,1
A002181,2
A002187,1
A002188,2
A002191,4
A002192,1
A002193,1
A002194,1
A002195,1
A002196,1
A002197,1
A002198,1
A002203,1
A002204,4
A002207,1
A002208,3
A002210,3
A002211,1
A002212,1
A002218,2
A002218,1
A002219,1
A002220,2
A002221,1
A002222,5
A002223,2
A002226,3
A002230,5
A002233,9
A002234,10
A002235,10
A002237,10
A002239,3
A002245,2
A002246,22
A002249,8
A002249,1
A002250,1
A002251,1
A002252,1
A002253,1
A002255,22
A002255,5
A002256,1
A002257,16
A002259,10
A002260,1
A002264,1
A002265,8
A002267,4
A002268,2
A002269,2
A002272,1
A002275,5
A002275,3
A002277,4
A002279,1
A002286,2
A002287,4
A002288,3
A002288,5
A002289,1
A002294,1
A002295,1
A002295,1
A002296,1
A002296,1
A002297,1
A002299,7
A002300,4
A002301,1
A002302,1
A002303,4
A002306,4
A002307,1
A002309,1
A002312,1
A002312,1
A002318,2
A002322,1
A002323,2
A002327,3
A002328,15
A002328,1
A002329,3
A002330,11
A002331,28
A002334,1
A002335,8
A002336,24
A002338,15
A002341,16
A002344,14
A002350,103
A002352,11
A002353,7
A002354,6
A002358,6
A002359,6
A002359,7
A002360,17
A002361,9
A002361,5
A002363,16
A002364,6
A002365,49
A002366,4
A002367,1
A002369,7
A002371,1
A002372,1
A002373,2
A002374,1
A002375,1
A002377,2
A002378,1
A002379,1
A002380,1
A002384,8
A002389,1
A002393,6
A002395,2
A002395,1
A002396,9
A002399,8
A002400,26
A002402,16
A002405,19
A002406,2
A002408,20
A002409,7
A002410,11
A002411,15
A002415,2
A002418,6
A002419,10
A002420,2
A002421,1
A002422,1
A002423,2
A002423,1
A002424,3
A002425,1
A002426,3
A002427,2
A002428,1
A002430,1
A002431,59
A002432,4
A002433,2
A002435,1
A002435,1
A002436,628
A002436,-62
A002437,4
A002438,1
A002440,1
A002441,2
A002446,3
A002449,3
A002450,8
A002453,2
A002453,1
A002454,2
A002455,2
A002459,2
A002461,10
A002462,6
A002462,2
A002463,14
A002463,3
A002464,24
A002466,5
A002466,4
A002467,2
A002468,1
A002469,7
A002472,1
A002474,1
A002477,1
A002477,4
A002478,2
A002480,2
A002481,13
A002482,4
A002482,-1
A002483,8
A002484,7
A002487,3
A002489,1
A002491,1
A002492,3
A002495,2
A002497,1
A002502,1
A002503,3
A002503,1
A002504,1
A002505,1
A002508,1
A002510,1
A002513,2
A002516,2
A002518,1
A002521,2
A002521,2
A002522,6
A002524,10
A002526,46
A002527,10
A002530,4
A002530,1
A002531,7
A002531,5
A002533,1
A002534,8
A002535,6
A002537,5
A002539,2
A002541,20
A002542,117
A002545,3
A002546,1
A002551,1
A002552,9
A002554,2
A002555,6
A002557,13
A002558,11
A002560,9
A002561,3
A002562,14
A002563,4
A002564,9
A002565,14
A002566,2
A002567,17
A002568,1
A002570,18
A002574,9
A002575,17
A002575,2
A002576,3
A002577,6
A002580,1
A002581,6
A002582,4
A002583,1
A002584,4
A002585,12
A002586,7
A002587,13
A002590,12
A002591,8
A002592,10
A002593,6
A002593,21
A002595,49
A002596,14
A002597,4
A002598,21
A002598,5
A002599,15
A002600,7
A002601,5
A002601,5
A002602,39
A002602,11
A002604,20
A002604,4
A002607,1
A002609,5
A002610,27
A002610,1
A002612,5
A002614,3
A002615,12
A002615,1
A002616,4
A002617,4
A002618,12
A002619,2
A002620,4
A002621,3
A002622,6
A002623,6
A002625,6
A002626,6
A002629,2
A002630,1
A002632,2
A002633,1
A002634,1
A002635,1
A002636,2
A002638,1
A002638,12
A002639,1
A002640,1
A002642,1
A002644,1
A002646,2
A002648,2
A002651,1
A002653,1
A002655,10
A002656,9
A002657,6
A002658,21
A002660,18
A002660,1
A002661,124
