UUID,putaway zone,volume
A005012,OPT-C-01-04,360
A005013,OPT-C-01-04,2612.595
A005014,OPT-C-01-04,1457.5
A005015,OPT-C-01-04,216.63
A005016,OPT-C-01-04,10458
A005017,OPT-C-05-07,6743.275
A005018,OPT-C-01-04,3547.5
A005019,OPT-C-01-04,3361.1
A005020,OPT-C-05-07,791.7
A005021,OPT-C-01-04,3042.325
A005022,OPT-AA-01-04,6555
A005023,OPT-C-01-04,253.8
A005024,OPT-C-01-04,341.25
A005025,OPT-C-01-04,117.45
A005026,,1335.6
A005027,OPT-C-01-04,3780
A005028,OPT-C-01-04,914.375
A005029,OPT-C-01-04,595
A005030,OPT-B-01-04,2289.375
A005031,CANTI-LIGHT,6502.5
A005032,OPT-A-05-07,0
A005033,OPT-B-01-04,0
A005034,CANTI-LIGHT,3920
A005035,OPT-C-01-04,2455.25
A005036,OPT-A-01-04,0
A005037,OPT-AAAA-01-04,519.92
A005038,OPT-C-05-07,8400
A005039,OPT-C-01-04,2895.75
A005040,OPT-C-01-04,2013.44
A005041,OPT-C-01-04,1950.75
A005042,OPT-C-05-07,18816
A005043,OPT-C-01-04,11890
A005044,OPT-C-01-04,2149.85
A005045,OPT-C-01-04,3875.625
A005046,OPT-MDK-14,18411
A005047,OPT-C-01-04,0
A005048,OPT-C-01-04,0
A005049,OPT-C-01-04,500
A005050,OPT-C-01-04,0
A005051,OPT-C-01-04,0
A005052,OPT-C-01-04,0
A005053,OPT-C-01-04,0
A005054,OPT-C-01-04,0
A005055,OPT-C-01-04,0
A005056,CANTI-LIGHT,0
A005057,OPT-B-01-04,3344
A005058,OPT-C-05-07,11544.4
A005059,OPT-B-01-04,0
A005060,OPT-A-01-04,6768
A005061,OPT-A-05-07,31892
A005062,OPT-AA-01-04,141.328
A005063,OPT-B-01-04,0
A005064,OPT-C-01-04,6021.75
A005065,OPT-C-01-04,6048
A005066,OPT-A-05-07,427.5
A005067,OPT-MDK-14,1168.75
A005068,OPT-MDK-14,1275
A005069,OPT-C-01-04,0
A005070,OPT-C-01-04,2376
A005071,OPT-C-01-04,96.39
A005072,OPT-C-01-04,2281.5
A005073,OPT-C-01-04,9000
A005074,OPT-C-05-07,59887.35
A005075,OPT-MDK-14,8290.8
A005076,OPT-C-05-07,50207.85
A005077,OPT-C-05-07,67209.45
A005078,OPT-A-05-07,48976.65
A005079,OPT-C-01-04,0
A005080,OPT-B-01-04,0
A005081,OPT-C-01-04,18
A005082,OPT-C-01-04,1496
A005083,OPT-B-01-04,0
A005084,OPT-A-01-04,9261
A005085,OPT-A-01-04,1998
A005086,OPT-A-01-04,2048
A005087,OPT-C-01-04,2220
A005088,OPT-A-01-04,1131
A005089,OPT-B-01-04,0
A005090,OPT-B-01-04,2479.5
A005091,OPT-MDK-14,0
A005092,OPT-A-05-07,10296
A005093,OPT-C-01-04,2135.7
A005094,OPT-MDK-14,812
A005095,OPT-C-01-04,35640
A005096,OPT-A-07-11,40392
A005097,PALLET-A,4734.488
A005098,,0.001
A005099,OPT-MDK-14,78.75
A005100,OPT-AAAA-01-04,55.2
A005101,OPT-AAAA-01-04,36.75
A005102,OPT-C-01-04,0
A005103,OPT-B-01-04,0
A005104,OPT-C-01-04,189
A005105,OPT-C-01-04,0
A005106,OPT-A-01-04,50
A005107,OPT-AA-01-04,12.408
A005108,OPT-B-05-07,58560
A005109,PALLET-B,49494
A005110,OPT-B-05-07,45279
A005111,OPT-B-07-11,67415.4
A005112,OPT-C-01-04,50274
A005113,OPT-B-01-04,3969
A005114,OPT-C-01-04,1620
A005115,OPT-B-01-04,1387.2
A005116,OPT-C-01-04,20160
A005117,OPT-MDK-14,10642.5
A005118,OPT-A-05-07,1224
A005119,OPT-C-01-04,1071
A005120,OPT-C-01-04,725
A005121,OPT-C-01-04,0
A005122,OPT-C-01-04,0
A005123,OPT-C-05-07,5832
A005124,OPT-MDK-14,0
A005125,OPT-MDK-14,1472
A005126,OPT-B-01-04,2587.5
A005127,OPT-MDK-14,0
A005128,OPT-C-01-04,239.4
A005129,OPT-C-01-04,83.2
A005130,OPT-A-01-04,682
A005131,OPT-MDK-14,600.6
A005132,OPT-MDK-14,682
A005133,OPT-A-01-04,0
A005134,OPT-C-01-04,1023.75
A005135,OPT-C-01-04,246.96
A005136,OPT-C-01-04,248.4
A005137,OPT-C-01-04,348.21
A005138,OPT-C-01-04,550.8
A005139,OPT-C-01-04,1460.16
A005140,OPT-C-01-04,1227.6
A005141,OPT-MDK-14,3072
A005142,OPT-A-01-04,0
A005143,OPT-AAAA-01-04,195
A005144,OPT-C-01-04,7350
A005145,OPT-C-05-07,468350
A005146,OPT-MDK-14,1501.968
A005147,OPT-B-01-04,364
A005148,OPT-C-01-04,552.123
A005149,OPT-B-01-04,4.32
A005150,CANTI-LIGHT,24700
A005151,OPT-C-01-04,16038
A005152,OPT-C-05-07,1554
A005153,OPT-A-01-04,2843.5
A005154,OPT-MDK-14,2590.875
A005155,OPT-A-07-11,2690.515
A005156,OPT-A-07-11,2690.515
A005157,OPT-A-07-11,145632
A005158,EXHAUST,137987.5
A005159,OPT-A-07-11,165722
A005160,OPT-C-01-04,28512
A005161,OPT-MDK-14,18744
A005162,PALLET-C,250560
A005163,OPT-A-07-11,192780
A005164,OPT-C-01-04,152.352
A005165,OPT-A-05-07,24012
A005166,OPT-C-05-07,99603
A005167,OPT-A-07-11,99603
A005168,OPT-C-01-04,994.5
A005169,OPT-C-01-04,88.2
A005170,OPT-MDK-14,400
A005171,OPT-C-05-07,2764.784
A005172,OPT-C-01-04,24472
A005173,OPT-C-01-04,7897.5
A005174,OPT-C-01-04,9120
A005175,OPT-C-01-04,987.58
A005176,OPT-C-01-04,93
A005177,OPT-B-01-04,258.75
A005178,OPT-B-01-04,1071
A005179,OPT-C-01-04,576
A005180,,612
A005181,OPT-MDK-14,1087.849
A005182,,1015
A005183,OPT-MDK-14,1040
A005184,OPT-MDK-14,1040
A005185,OPT-A-01-04,92.25
A005186,OPT-B-05-07,8012.2
A005187,OPT-C-01-04,633.36
A005188,,532.5
A005189,OPT-A-01-04,0
A005190,OPT-C-01-04,6373.25
A005191,OPT-A-01-04,3737.5
A005192,OPT-C-01-04,7548.75
A005193,OPT-C-01-04,3450
A005194,OPT-MDK-14,3510
A005195,OPT-A-01-04,3384.96
A005196,OPT-A-01-04,5754.375
A005197,OPT-A-07-11,116841
A005198,OPT-C-05-07,69912.5
A005199,OPT-C-05-07,52708.32
A005200,OPT-C-01-04,53592.32
A005201,OPT-C-05-07,55440
A005202,OPT-C-05-07,49104
A005203,OPT-A-05-07,55680
A005204,OPT-A-05-07,55680
A005205,OPT-B-05-07,57172.5
A005206,OPT-B-07-11,57172.5
A005207,OPT-A-07-11,55755
A005208,OPT-A-05-07,55755
A005209,OPT-B-05-07,56700
A005210,OPT-MDK-14,7359.3
A005211,OPT-C-01-04,7359.3
A005212,OPT-A-01-04,0
A005213,OPT-C-01-04,595.98
A005214,OPT-C-01-04,1300
A005215,OPT-A-01-04,367.16
A005216,,0
A005217,OPT-A-01-04,38.304
A005218,OPT-C-01-04,0
A005219,OPT-A-01-04,38.304
A005220,OPT-C-01-04,8320
A005221,OPT-C-01-04,7216
A005222,OPT-C-01-04,4285.35
A005223,OPT-C-01-04,10260.25
A005224,OPT-A-01-04,11739
A005225,OPT-A-01-04,11739
A005226,OPT-C-01-04,4017.6
A005227,OPT-C-01-04,4920.75
A005228,OPT-C-05-07,2292.5
A005229,OPT-C-01-04,71.28
A005230,OPT-C-01-04,392
A005231,OPT-C-07-11,2808
A005232,OPT-MDK-14,223.776
A005233,OPT-C-01-04,638.4
A005234,OPT-C-01-04,722.5
A005235,OPT-MDK-14,722.5
A005236,OPT-C-01-04,1844.4
A005237,OPT-C-01-04,1159.275
A005238,OPT-MDK-14,1152
A005239,OPT-A-05-07,1196.8
A005240,OPT-A-01-04,4232
A005241,OPT-B-01-04,1624.5
A005242,OPT-B-01-04,1200
A005243,,867
A005244,OPT-C-01-04,2640
A005245,OPT-C-01-04,5650.125
A005246,OPT-A-01-04,90
A005247,OPT-B-01-04,1936
A005248,OPT-AAA-01-04,90
A005249,OPT-A-01-04,76.8
A005250,OPT-AAAA-01-04,0
A005251,OPT-A-01-04,76.8
A005252,OPT-A-01-04,110.5
A005253,OPT-AAAA-01-04,48.4
A005254,OPT-C-01-04,5625
A005255,OPT-C-01-04,0
A005256,OPT-C-01-04,0
A005257,OPT-A-01-04,71.4
A005258,OPT-C-01-04,0
A005259,OPT-C-01-04,0
A005260,OPT-A-01-04,78
A005261,,972
A005262,OPT-C-01-04,72.25
A005263,OPT-MDK-14,1598.4
A005264,OPT-C-01-04,1779.552
A005265,OPT-C-01-04,1712.64
A005266,OPT-A-01-04,168
A005267,OPT-AAAA-01-04,14.973
A005268,OPT-B-01-04,19.2
A005269,OPT-C-01-04,12000
A005270,OPT-A-01-04,10080
A005271,OPT-B-01-04,243.75
A005272,OPT-A-01-04,334.425
A005273,OPT-A-01-04,23.76
A005274,OPT-A-01-04,7.98
A005275,OPT-B-01-04,11.305
A005276,OPT-B-01-04,10.764
A005277,OPT-AAA-01-04,5.292
A005278,,47.04
A005279,OPT-A-01-04,6.48
A005280,OPT-B-01-04,0
A005281,OPT-B-01-04,22.68
A005282,OPT-A-01-04,11.25
A005283,,49
A005284,OPT-C-01-04,3.388
A005285,OPT-B-01-04,0.225
A005286,OPT-A-01-04,420.5
A005287,,583.2
A005288,,490
A005289,OPT-A-01-04,334.425
A005290,OPT-AAAA-01-04,5.292
A005291,OPT-C-01-04,18.676
A005292,OPT-C-01-04,84.915
A005293,OPT-C-01-04,40.5
A005294,OPT-C-01-04,50.7
A005295,OPT-C-01-04,49.776
A005296,OPT-C-01-04,70.56
A005297,OPT-C-01-04,66.08
A005298,OPT-C-01-04,103.4
A005299,OPT-C-01-04,82.944
A005300,OPT-C-01-04,15.232
A005301,OPT-C-01-04,70.176
A005302,OPT-A-01-04,44.85
A005303,OPT-A-01-04,480
A005304,OPT-MDK-14,1238.16
A005305,OPT-C-01-04,1186.9
A005306,OPT-AAAA-01-04,307.52
A005307,OPT-C-01-04,288.3
A005308,OPT-B-01-04,307.52
A005309,OPT-C-01-04,72.036
A005310,OPT-C-01-04,63
A005311,OPT-C-01-04,64.575
A005312,,317.52
A005313,OPT-C-01-04,6337.5
A005314,OPT-C-01-04,7623
A005315,OPT-MDK-14,7524
A005316,OPT-B-05-07,7315
A005317,OPT-A-05-07,7592.4
A005318,OPT-A-01-04,39.208
A005319,OPT-C-01-04,49.5
A005320,OPT-C-01-04,37.908
A005321,OPT-C-01-04,282.15
A005322,OPT-B-01-04,408.24
A005323,OPT-B-01-04,131.92
A005324,OPT-C-01-04,1368
A005325,OPT-A-01-04,1223.6
A005326,OPT-C-01-04,246.05
A005327,OPT-A-01-04,2199.925
A005328,OPT-A-01-04,215.74
A005329,OPT-A-05-07,227.664
A005330,OPT-AAAA-01-04,213.395
A005331,OPT-C-01-04,496.125
A005332,OPT-MDK-14,496.125
A005333,OPT-C-01-04,1480
A005334,OPT-C-01-04,236.385
A005335,OPT-AAAA-01-04,0
A005336,OPT-B-01-04,1023.75
A005337,OPT-A-05-07,0
A005338,OPT-A-01-04,646.8
A005339,OPT-A-01-04,496.8
A005340,OPT-C-01-04,214.76
A005341,OPT-MDK-14,577.8
A005342,OPT-B-05-07,4001.4
A005343,OPT-C-01-04,1076.4
A005344,,3564
A005345,OPT-B-01-04,632.4
A005346,OPT-C-01-04,632.4
A005347,OPT-B-01-04,102
A005348,OPT-C-01-04,351.75
A005349,OPT-C-01-04,42.891
A005350,OPT-C-01-04,42.891
A005351,OPT-C-01-04,67.375
A005352,OPT-C-01-04,54.6
A005353,OPT-C-01-04,0
A005354,OPT-C-01-04,13.65
A005355,OPT-C-01-04,29.97
A005356,OPT-C-01-04,32.4
A005357,OPT-C-01-04,59.644
A005358,OPT-C-01-04,57.456
A005359,OPT-B-01-04,221.76
A005360,OPT-AAAA-01-04,600
A005361,OPT-AAA-01-04,315
A005362,OPT-A-01-04,315
A005363,OPT-MDK-14,250
A005364,OPT-B-01-04,0
A005365,OPT-MDK-14,4785
A005366,OPT-C-01-04,6000
A005367,OPT-C-01-04,4785
A005368,OPT-MDK-14,4621.5
A005369,OPT-A-07-11,5498.625
A005370,OPT-A-05-07,4742.4
A005371,OPT-B-05-07,4650
A005372,OPT-MDK-14,6318
A005373,OPT-C-01-04,4338.852
A005374,OPT-C-01-04,3736.25
A005375,OPT-MDK-14,3123.75
A005376,OPT-B-01-04,3822
A005377,OPT-C-05-07,18900
A005378,,20227.5
A005379,OPT-B-01-04,15.36
A005380,OPT-AAAA-01-04,18.772
A005381,OPT-C-05-07,1060.8
A005382,OPT-C-05-07,1596
A005383,OPT-C-05-07,3458
A005384,OPT-C-05-07,1485
A005385,OPT-C-01-04,689.92
A005386,OPT-C-01-04,673.2
A005387,OPT-C-01-04,0
A005388,OPT-MDK-14,1125
A005389,OPT-A-05-07,1437.75
A005390,OPT-C-01-04,0.001
A005391,OPT-MDK-14,2729.7
A005392,OPT-C-01-04,26737.5
A005393,,107.822
A005394,OPT-C-01-04,68.112
A005395,OPT-C-01-04,76.95
A005396,,30.1
A005397,OPT-MDK-14,5967
A005398,,27.5
A005399,OPT-C-01-04,176.4
A005400,OPT-C-01-04,19.44
A005401,OPT-C-01-04,13
A005402,OPT-C-01-04,37.125
A005403,OPT-C-01-04,8.19
A005404,OPT-C-01-04,42.24
A005405,OPT-A-01-04,14.3
A005406,OPT-C-01-04,40
A005407,,31.752
A005408,,42.24
A005409,OPT-C-01-04,200
A005410,OPT-C-01-04,720
A005411,OPT-C-01-04,39.865
A005412,OPT-C-01-04,52
A005413,OPT-C-01-04,78.4
A005414,OPT-C-01-04,52
A005415,OPT-C-01-04,44.85
A005416,OPT-AAAA-01-04,46.398
A005417,,46.398
A005418,OPT-A-01-04,38.475
A005419,OPT-C-01-04,7182
A005420,OPT-B-01-04,7992
A005421,OPT-B-01-04,8208
A005422,OPT-C-01-04,79.402
A005423,OPT-A-01-04,47.7
A005424,OPT-AAAA-01-04,1512.5
A005425,OPT-C-01-04,24.552
A005426,OPT-B-01-04,302.5
A005427,OPT-C-01-04,80.85
A005428,OPT-C-01-04,42.075
A005429,OPT-C-01-04,37.8
A005430,OPT-C-01-04,0
A005431,OPT-C-01-04,37.8
A005432,OPT-MDK-14,680
A005433,OPT-C-01-04,450
A005434,OPT-C-01-04,507
A005435,OPT-C-01-04,432
A005436,OPT-C-01-04,37.275
A005437,OPT-C-01-04,36
A005438,OPT-B-01-04,302.5
A005439,OPT-A-01-04,304.2
A005440,OPT-B-01-04,59.024
A005441,OPT-C-01-04,55.575
A005442,OPT-C-01-04,21.42
A005443,,31.096
A005444,OPT-B-01-04,41.31
A005445,OPT-AAAA-01-04,32.448
A005446,OPT-C-01-04,27.72
A005447,OPT-C-01-04,1007.68
A005448,OPT-C-01-04,103.156
A005449,OPT-C-01-04,103.156
A005450,OPT-C-01-04,103.156
A005451,OPT-C-01-04,114.444
A005452,OPT-C-01-04,98.28
A005453,OPT-C-01-04,98.28
A005454,OPT-C-01-04,119.7
A005455,OPT-C-01-04,114.24
A005456,OPT-AAAA-01-04,124.614
A005457,OPT-C-01-04,32.64
A005458,OPT-A-01-04,274
A005459,,274
A005460,,342.21
A005461,OPT-A-05-07,8448
A005462,OPT-B-05-07,2250
A005463,OPT-AAAA-01-04,23.76
A005464,OPT-MDK-14,2015
A005465,OPT-C-01-04,52.416
A005466,OPT-C-01-04,61.425
A005467,OPT-A-01-04,84.8
A005468,OPT-C-01-04,52.8
A005469,OPT-C-01-04,131.008
A005470,OPT-C-01-04,136.85
A005471,OPT-MDK-14,2356.48
A005472,OPT-A-05-07,6734
A005473,OPT-C-01-04,547.4
A005474,OPT-C-01-04,45
A005475,OPT-MDK-14,2592
A005476,OPT-B-01-04,50
A005477,OPT-MDK-14,45.63
A005478,OPT-A-01-04,0
A005479,OPT-A-01-04,48
A005480,,25
A005481,OPT-C-01-04,1801.8
A005482,OPT-C-01-04,1801.8
A005483,OPT-C-01-04,145.35
A005484,OPT-C-01-04,186.96
A005485,OPT-C-01-04,140.22
A005486,OPT-C-01-04,1053
A005487,OPT-C-01-04,1053
A005488,OPT-B-01-04,16.94
A005489,OPT-B-01-04,51.03
A005490,OPT-B-01-04,68.8
A005491,OPT-C-01-04,4448.6
A005492,OPT-MDK-14,1914.75
A005493,OPT-C-01-04,1966.5
A005494,PALLET-A,118080
A005495,OPT-MDK-14,415.625
A005496,OPT-B-05-07,5616
A005497,OPT-B-01-04,2754
A005498,OPT-B-01-04,2754
A005499,CANTI-HEAVY,43781.85
A005500,OPT-AAAA-01-04,5661
A005501,CANTI-HEAVY,20512.625
A005502,OPT-A-01-04,12.4
A005503,OPT-B-01-04,9632
A005504,OPT-MDK-14,9632
A005505,OPT-B-01-04,9632
A005506,OPT-A-01-04,9688.092
A005507,OPT-A-05-07,9688.092
A005508,OPT-A-05-07,9632
A005509,OPT-MDK-14,2275
A005510,OPT-A-01-04,2018.25
A005511,OPT-A-05-07,9860
A005512,"pallet jack
",124800
A005513,PALLET-A,181792
A005514,OPT-C-01-04,288000
A005515,,847
A005516,OPT-A-05-07,847
A005517,OPT-A-05-07,7468.632
A005518,OPT-MDK-14,6250.86
A005519,OPT-B-08,264960
A005520,OPT-MDK-14,5144.2
A005521,OPT-B-01-04,4410.07
A005522,OPT-C-01-04,236.708
A005523,OPT-B-01-04,82.65
A005524,OPT-A-05-07,10741.5
A005525,OPT-MDK-14,2456.5
A005526,OPT-B-07-11,74016
A005527,OPT-MDK-14,1664
A005528,PALLET-C,45570
A005529,"pallet jack
",102528
A005530,PALLET-C,96140
A005531,OPT-A-01-04,1115.136
A005532,OPT-B-01-04,2568.96
A005533,OPT-MDK-14,1620
A005534,OPT-A-01-04,0
A005535,OPT-A-01-04,205.66
A005536,OPT-A-01-04,249.6
A005537,OPT-A-01-04,2687.96
A005538,OPT-C-01-04,8538.75
A005539,OPT-A-05-07,4026
A005540,OPT-A-05-07,16113.6
A005541,OPT-A-05-07,8021.96
A005542,OPT-A-05-07,8778
A005543,OPT-A-05-07,7350
A005544,OPT-A-05-07,4614.48
A005545,OPT-A-05-07,21232.524
A005546,OPT-A-05-07,13383.5
A005547,OPT-A-05-07,116.1
A005548,OPT-A-05-07,4561.2
A005549,OPT-A-05-07,6469.08
A005550,OPT-A-05-07,3225.6
A005551,OPT-A-05-07,6072
A005552,OPT-A-05-07,6761.72
A005553,OPT-A-05-07,378
A005554,OPT-A-07-11,318176.25
A005555,OPT-A-05-07,104545
A005556,OPT-B-01-04,1846.52
A005557,OPT-C-08,290680
A005558,OPT-B-01-04,933.8
A005559,OPT-B-01-04,950.4
A005560,OPT-C-07-11,23997.6
A005561,OPT-C-01-04,2341.75
A005562,OPT-C-01-04,2341.75
A005563,OPT-C-05-07,60501
A005564,OPT-B-05-07,57813.6
A005565,OPT-C-08,999375
A005566,OPT-C-08,404876.25
A005567,OPT-B-08,404876.25
A005568,OPT-C-08,422994
A005569,OPT-C-01-04,276
A005570,OPT-MDK-14,2733.75
A005571,OPT-MDK-14,4503
A005572,OPT-B-05-07,33394.97
A005573,OPT-B-08,28710
A005574,OPT-B-07-11,29626.875
A005575,OPT-MDK-14,9776
A005576,OPT-C-01-04,1538.6
A005577,OPT-C-01-04,1546.125
A005578,OPT-C-01-04,48175
A005579,OPT-A-05-07,49917.5
A005580,OPT-C-01-04,15600
A005581,OPT-C-01-04,104.468
A005582,OPT-C-01-04,111
A005583,OPT-C-01-04,17255
A005584,OPT-C-01-04,17255
A005585,OPT-B-01-04,18007.99
A005586,OPT-B-08,940680
A005587,OPT-C-01-04,496.65
A005588,OPT-C-01-04,431.2
A005589,OPT-C-01-04,363
A005590,OPT-C-01-04,1155
A005591,OPT-C-01-04,1155
A005592,OPT-B-05-07,290680
A005593,OPT-B-05-07,488.84
A005594,OPT-A-08,288405
A005595,OPT-B-05-07,10533.64
A005596,OPT-B-01-04,10533.64
A005597,"pallet jack
",50507.026
A005598,OPT-A-08,50507.026
A005599,OPT-C-07-11,0
A005600,OPT-MDK-14,11421
A005601,OPT-A-01-04,3808.8
A005602,OPT-B-01-04,1725
A005603,OPT-A-01-04,1909.7
A005604,OPT-B-01-04,0
A005605,OPT-C-05-07,70485
A005606,OPT-C-01-04,297.66
A005607,OPT-A-07-11,49165.875
A005608,OPT-B-05-07,18481.5
A005609,OPT-MDK-14,26460
A005610,OPT-B-01-04,25886
A005611,OPT-MDK-14,0
A005612,PALLET-A,18278
A005613,,27387.36
A005614,PALLET-A,19950
A005615,OPT-B-05-07,51590
A005616,OPT-A-07-11,152100
A005617,OPT-A-07-11,146191.5
A005618,OPT-C-01-04,1205.302
A005619,OPT-A-01-04,1234.8
A005620,OPT-C-01-04,29044.84
A005621,OPT-C-01-04,29044.84
A005622,OPT-C-01-04,0
A005623,OPT-A-05-07,24725
A005624,OPT-C-01-04,0
A005625,OPT-B-05-07,27930
A005626,OPT-A-07-11,29044.84
A005627,OPT-B-01-04,691.488
A005628,,25536
A005629,OPT-C-01-04,12039.92
A005630,OPT-B-01-04,2584
A005631,OPT-C-07-11,28268.504
A005632,OPT-C-07-11,0
A005633,OPT-B-05-07,1670.868
A005634,OPT-C-01-04,31311
A005635,OPT-A-05-07,32021
A005636,OPT-B-05-07,30996
A005637,OPT-C-01-04,1458
A005638,OPT-C-01-04,1724.25
A005639,OPT-A-05-07,1739.375
A005640,OPT-B-05-07,1724.25
A005641,OPT-A-07-11,29852.16
A005642,OPT-C-01-04,708.75
A005643,OPT-B-01-04,839.592
A005644,OPT-A-07-11,10305
A005645,CANTI-LIGHT,10305
A005646,OPT-B-01-04,1912.5
A005647,OPT-MDK-14,2320.5
A005648,OPT-A-01-04,416
A005649,OPT-A-01-04,56
A005650,OPT-C-01-04,0
A005651,OPT-C-01-04,308.75
A005652,OPT-C-01-04,40595.125
A005653,,38720
A005654,OPT-B-05-07,45284.5
A005655,OPT-B-05-07,0
A005656,OPT-A-01-04,0
A005657,OPT-A-01-04,500
A005658,OPT-A-01-04,0
A005659,OPT-C-01-04,41.25
A005660,OPT-C-01-04,1543.5
A005661,OPT-MDK-14,1543.5
A005662,OPT-A-01-04,1890.625
A005663,OPT-C-01-04,20
A005664,OPT-C-01-04,1.3
A005665,PALLET-C,61963
A005666,PALLET-A,63271
A005667,OPT-C-07-11,67792.5
A005668,OPT-C-07-11,63548.1
A005669,PALLET-A,62640
A005670,PALLET-B,62640
A005671,,18031
A005672,OPT-A-05-07,17656.875
A005673,OPT-C-01-04,720
A005674,OPT-C-01-04,110.5
A005675,OPT-C-01-04,52.8
A005676,OPT-MDK-14,485.1
A005677,OPT-C-01-04,1706.6
A005678,OPT-C-01-04,1094.8
A005679,OPT-B-01-04,2184.325
A005680,OPT-B-01-04,105.3
A005681,OPT-C-01-04,196.625
A005682,OPT-C-01-04,1795.5
A005683,,2250
A005684,OPT-B-01-04,888
A005685,OPT-A-05-07,6325
A005686,OPT-A-05-07,1990
A005687,OPT-A-01-04,14.872
A005688,OPT-A-01-04,7845.76
A005689,PALLET-A,6518.439
A005690,PALLET-A,0.001
A005691,OPT-C-01-04,4860
A005692,OPT-A-05-07,9089.091
A005693,PALLET-A,0.001
A005694,PALLET-A,9116.45
A005695,OPT-A-05-07,6518.439
A005696,OPT-A-05-07,10351.25
A005697,PALLET-A,6426.63
A005698,OPT-C-01-04,4104
A005699,OPT-MDK-14,4074
A005700,OPT-C-01-04,4578.75
A005701,OPT-C-01-04,4322.16
A005702,OPT-MDK-14,0
A005703,PALLET-A,0.001
A005704,,0.001
A005705,OPT-A-01-04,1155.84
A005706,,0.001
A005707,OPT-MDK-14,1141.875
A005708,OPT-A-01-04,1080
A005709,,0.001
A005710,OPT-A-01-04,1080
A005711,,0.001
A005712,OPT-AA-01-04,500
A005713,OPT-MDK-14,3217.5
A005714,OPT-B-01-04,24336
A005715,OPT-C-01-04,3168.75
A005716,OPT-C-01-04,3861
A005717,OPT-C-01-04,3753.75
A005718,OPT-C-05-07,7672.5
A005719,OPT-C-05-07,16933.75
A005720,CANTI-LIGHT,34800
A005721,OPT-C-01-04,2916
A005722,CANTI-LIGHT,11118
A005723,CANTI-LIGHT,9184
A005724,CANTI-HEAVY,22500
A005725,OPT-B-05-07,25063.375
A005726,OPT-AAAA-01-04,411
A005727,OPT-MDK-14,12355.2
A005728,OPT-A-01-04,0
A005729,OPT-A-01-04,138.6
A005730,OPT-A-01-04,138.6
A005731,OPT-C-01-04,3801.9
A005732,,45.968
A005733,OPT-C-01-04,14.4
A005734,OPT-MDK-14,2017.675
A005735,OPT-A-05-07,2175
A005736,OPT-B-01-04,3386.175
A005737,OPT-B-01-04,2956.8
A005738,OPT-A-05-07,3933.57
A005739,OPT-A-01-04,2210
A005740,CANTI-LIGHT,3906
A005741,OPT-C-01-04,0
A005742,OPT-B-01-04,250
A005743,OPT-B-08,257966.5
A005744,OPT-B-07-11,0
A005745,OPT-C-01-04,712.8
A005746,OPT-A-05-07,0
A005747,OPT-A-07-11,4637.5
A005748,OPT-C-01-04,307.2
A005749,OPT-C-01-04,405
A005750,OPT-B-01-04,0
A005751,OPT-B-01-04,1600.83
A005752,OPT-B-01-04,1326.18
A005753,OPT-A-05-07,3702.6
A005754,OPT-A-01-04,0
A005755,OPT-B-07-11,68554.375
A005756,OPT-C-07-11,14150.125
A005757,OPT-C-08,4340
A005758,OPT-A-07-11,0
A005759,OPT-C-01-04,1683.36
A005760,OPT-B-01-04,1683.36
A005761,OPT-C-07-11,20336.25
A005762,OPT-B-07-11,20336.25
A005763,OPT-A-05-07,22471.68
A005764,OPT-B-01-04,2800.875
A005765,OPT-C-01-04,3024
A005766,OPT-MDK-14,2743.65
A005767,OPT-A-01-04,203.06
A005768,OPT-C-01-04,4959
A005769,OPT-MDK-14,4959
A005770,OPT-B-01-04,4066.425
A005771,OPT-B-01-04,408900
A005772,OPT-C-07-11,363165
A005773,OPT-B-01-04,11346.24
A005774,OPT-B-01-04,11320.8
A005775,OPT-B-01-04,9875.25
A005776,OPT-B-01-04,9875.25
A005777,OPT-C-07-11,57960
A005778,,1117.2
A005779,OPT-A-01-04,290.16
A005780,OPT-A-07-11,44904.6
A005781,OPT-C-01-04,0
A005782,,475.2
A005783,OPT-A-05-07,13904
A005784,OPT-A-05-07,4704.48
A005785,,90461.25
A005786,OPT-C-05-07,80112.5
A005787,OPT-C-01-04,5265
A005788,OPT-MDK-14,4895.52
A005789,OPT-A-01-04,5250
A005790,OPT-B-01-04,3986.125
A005791,OPT-A-05-07,4843.8
A005792,OPT-A-07-11,5616
A005793,OPT-B-01-04,4301
A005794,OPT-MDK-14,0
A005795,OPT-A-05-07,5462.5
A005796,OPT-A-05-07,5899.5
A005797,OPT-A-05-07,5899.5
A005798,OPT-A-01-04,1776.06
A005799,OPT-A-07-11,1776.06
A005800,,0.001
A005801,OPT-A-01-04,1894.464
A005802,OPT-C-08,32540.625
A005803,OPT-C-01-04,9501.3
A005804,OPT-C-01-04,0
A005805,OPT-C-05-07,16599.8
A005806,OPT-C-01-04,6200
A005807,OPT-MDK-14,6082.35
A005808,OPT-C-01-04,323.312
A005809,OPT-C-01-04,1400
A005810,OPT-C-01-04,7.35
A005811,OPT-C-01-04,71.28
A005812,OPT-C-01-04,0
A005813,OPT-C-01-04,388.8
A005814,OPT-A-07-11,463.54
A005815,OPT-C-05-07,21506.25
A005816,OPT-C-01-04,22320
A005817,OPT-C-01-04,10179
A005818,OPT-C-01-04,4464
A005819,OPT-B-05-07,8265
A005820,OPT-B-05-07,19140
A005821,OPT-C-01-04,71299
A005822,OPT-C-01-04,2435.4
