UUID,putaway zone,volume
A000185,OPT-C-01-04,30
A000186,OPT-B-01-04,8.381
A000187,OPT-B-01-04,6.992
A000188,OPT-A-01-04,61.952
A000189,OPT-C-01-04,102.06
A000190,OPT-B-01-04,89.91
A000191,OPT-MDK-14,158.1
A000192,OPT-C-01-04,206.976
A000193,OPT-C-01-04,38.874
A000194,OPT-C-01-04,62.304
A000195,OPT-C-01-04,61.952
A000196,OPT-C-01-04,56.81
A000197,OPT-C-01-04,68.31
A000198,OPT-A-01-04,77.76
A000199,OPT-AAAA-01-04,42.5
A000200,OPT-C-01-04,98.82
A000201,OPT-C-01-04,142.688
A000202,OPT-C-01-04,79.2
A000203,OPT-A-01-04,101.675
A000204,OPT-C-01-04,32.45
A000205,OPT-C-01-04,58.32
A000206,OPT-C-01-04,64.8
A000207,OPT-MDK-14,63.072
A000208,OPT-MDK-14,63.612
A000209,OPT-MDK-14,98.82
A000210,OPT-MDK-14,126.117
A000211,OPT-MDK-14,253.98
A000212,OPT-MDK-14,243
A000213,OPT-C-01-04,32.604
A000214,OPT-AAA-01-04,33
A000215,OPT-AA-01-04,75.988
A000216,OPT-A-01-04,115.5
A000217,OPT-C-01-04,43.74
A000218,OPT-C-01-04,0
A000219,OPT-C-01-04,84.24
A000220,OPT-C-01-04,109.35
A000221,OPT-C-01-04,129.6
A000222,OPT-C-01-04,67.797
A000223,OPT-C-01-04,81.189
A000224,OPT-C-01-04,88.722
A000225,OPT-C-01-04,115.02
A000226,OPT-C-01-04,128.061
A000227,OPT-C-01-04,125.388
A000228,OPT-C-01-04,134.64
A000229,,144.84
A000230,OPT-C-01-04,137.7
A000231,OPT-C-01-04,177.48
A000232,OPT-B-01-04,184.62
A000233,OPT-MDK-14,227.46
A000234,OPT-C-01-04,256.122
A000235,OPT-MDK-14,298.86
A000236,OPT-C-01-04,156.456
A000237,OPT-C-01-04,324
A000238,OPT-C-01-04,76.45
A000239,OPT-A-01-04,59.532
A000240,OPT-C-01-04,340.68
A000241,OPT-C-01-04,160.14
A000242,OPT-C-01-04,168.85
A000243,OPT-C-01-04,94.77
A000244,OPT-C-01-04,56.079
A000245,OPT-A-01-04,65.7
A000246,OPT-C-01-04,56.133
A000247,OPT-AAAA-01-04,11.97
A000248,OPT-C-01-04,23.232
A000249,OPT-C-01-04,39.375
A000250,OPT-C-01-04,22.68
A000251,OPT-C-01-04,50.96
A000252,OPT-C-01-04,27.132
A000253,OPT-C-01-04,52.272
A000254,OPT-AAAA-01-04,55.8
A000255,OPT-C-01-04,56.133
A000256,OPT-C-01-04,67.2
A000257,OPT-C-01-04,64.449
A000258,OPT-C-01-04,72.819
A000259,OPT-C-01-04,22.154
A000260,OPT-C-01-04,33
A000261,OPT-C-01-04,79.56
A000262,OPT-B-01-04,17.28
A000263,OPT-AAAA-01-04,33.88
A000264,OPT-AAAA-01-04,47.709
A000265,OPT-C-01-04,35.64
A000266,OPT-C-01-04,6.358
A000267,OPT-C-01-04,23.814
A000268,OPT-B-01-04,44.375
A000269,OPT-AAAA-01-04,70.2
A000270,OPT-C-01-04,33.856
A000271,OPT-C-01-04,26.46
A000272,OPT-C-01-04,35.816
A000273,OPT-C-01-04,67.914
A000274,OPT-A-01-04,66.816
A000275,OPT-AA-01-04,61.152
A000276,OPT-B-01-04,41.472
A000277,OPT-A-01-04,0
A000278,OPT-AAAA-01-04,2.6
A000279,OPT-B-01-04,5.1
A000280,OPT-B-01-04,5.07
A000281,OPT-C-01-04,12.337
A000282,OPT-A-01-04,0
A000283,OPT-C-01-04,12.8
A000284,OPT-AAAA-01-04,5.577
A000285,OPT-B-01-04,9
A000286,OPT-A-01-04,11.52
A000287,OPT-C-01-04,12.375
A000288,OPT-C-01-04,12.8
A000289,OPT-C-01-04,10.693
A000290,OPT-AAAA-01-04,48.672
A000291,OPT-C-01-04,63
A000292,OPT-C-01-04,14.08
A000293,OPT-C-01-04,59.488
A000294,OPT-C-01-04,5.577
A000295,OPT-AAA-01-04,8.957
A000296,OPT-C-01-04,11.52
A000297,OPT-C-01-04,25.6
A000298,OPT-A-01-04,5.427
A000299,OPT-AAAA-01-04,48.4
A000300,OPT-C-01-04,51.84
A000301,OPT-C-01-04,42.444
A000302,OPT-B-01-04,13.608
A000303,OPT-A-01-04,19.2
A000304,,1.6
A000305,OPT-C-01-04,5.04
A000306,OPT-B-01-04,2.304
A000307,,0.225
A000308,OPT-A-01-04,35.072
A000309,OPT-AAAA-01-04,6.975
A000310,OPT-AAAA-01-04,5.175
A000311,OPT-A-01-04,0
A000312,OPT-AA-01-04,15.228
A000313,,2.304
A000314,,6.4
A000315,OPT-C-01-04,11.52
A000316,OPT-A-01-04,0.832
A000317,OPT-C-01-04,28.16
A000318,OPT-AA-01-04,3.888
A000319,OPT-C-01-04,5.07
A000320,OPT-AAAA-01-04,6.422
A000321,OPT-C-01-04,18.252
A000322,OPT-C-01-04,6.86
A000323,OPT-AAAA-01-04,10.24
A000324,OPT-C-01-04,20.088
A000325,OPT-AAAA-01-04,23.328
A000326,OPT-C-01-04,26.019
A000327,OPT-C-01-04,41.454
A000328,OPT-A-01-04,45.864
A000329,OPT-C-01-04,71.415
A000330,OPT-C-01-04,1.088
A000331,OPT-C-01-04,0.864
A000332,OPT-C-01-04,4.5
A000333,OPT-C-01-04,5.1
A000334,OPT-C-01-04,5.6
A000335,OPT-C-01-04,8.381
A000336,OPT-C-01-04,10.982
A000337,OPT-C-01-04,12.716
A000338,OPT-C-01-04,57.6
A000339,OPT-C-01-04,0
A000340,OPT-C-01-04,37.908
A000341,OPT-C-01-04,83.968
A000342,OPT-C-01-04,83.232
A000343,OPT-AA-01-04,106.352
A000344,OPT-C-01-04,98
A000345,OPT-C-01-04,94.792
A000346,OPT-C-01-04,23.805
A000347,OPT-A-01-04,35
A000348,OPT-B-01-04,1
A000349,OPT-C-01-04,217.8
A000350,OPT-B-01-04,83.232
A000351,OPT-C-01-04,119.068
A000352,OPT-A-01-04,170.973
A000353,OPT-B-01-04,137.2
A000354,OPT-C-01-04,69.984
A000355,OPT-C-01-04,117.612
A000356,OPT-C-01-04,4.32
A000357,OPT-C-01-04,5.577
A000358,OPT-C-01-04,9.802
A000359,OPT-A-01-04,12.168
A000360,OPT-C-01-04,1.152
A000361,OPT-C-01-04,4.95
A000362,OPT-A-01-04,2.16
A000363,OPT-C-01-04,3.024
A000364,OPT-C-01-04,4.032
A000365,OPT-C-01-04,6.656
A000366,OPT-C-01-04,6.975
A000367,OPT-A-01-04,9.216
A000368,OPT-A-01-04,3.042
A000369,OPT-C-01-04,5.625
A000370,OPT-B-01-04,13.75
A000371,,2.16
A000372,OPT-C-01-04,6.647
A000373,OPT-A-01-04,6.075
A000374,OPT-AA-01-04,10.496
A000375,OPT-C-01-04,19.456
A000376,OPT-C-01-04,18
A000377,OPT-AAA-01-04,1.296
A000378,OPT-B-01-04,2.448
A000379,OPT-B-01-04,6.3
A000380,OPT-A-01-04,18.75
A000381,OPT-AA-01-04,5.625
A000382,OPT-A-01-04,12.672
A000383,OPT-AA-01-04,20
A000384,OPT-AAA-01-04,15.625
A000385,OPT-C-01-04,17.856
A000386,OPT-AAAA-01-04,3.024
A000387,OPT-C-01-04,3.6
A000388,OPT-AA-01-04,2.2
A000389,OPT-A-01-04,5.684
A000390,,1.152
A000391,OPT-A-01-04,3.6
A000392,OPT-A-01-04,3.92
A000393,OPT-B-01-04,3.312
A000394,OPT-A-01-04,0
A000395,OPT-B-01-04,2.178
A000396,OPT-B-01-04,15.2
A000397,OPT-AAAA-01-04,23.04
A000398,OPT-C-01-04,67.068
A000399,OPT-C-01-04,113.535
A000400,OPT-C-01-04,2
A000401,OPT-C-01-04,0.96
A000402,OPT-C-01-04,6.156
A000403,OPT-C-01-04,7.452
A000404,OPT-AAA-01-04,8.1
A000405,OPT-C-01-04,9.72
A000406,OPT-C-01-04,10.044
A000407,OPT-MDK-14,10.693
A000408,OPT-MDK-14,12.789
A000409,OPT-MDK-14,12.4
A000410,OPT-MDK-14,14.994
A000411,OPT-MDK-14,11.951
A000412,OPT-MDK-14,6.336
A000413,OPT-MDK-14,19.6
A000414,OPT-C-01-04,29.04
A000415,OPT-MDK-14,22.743
A000416,OPT-C-01-04,23.04
A000417,OPT-MDK-14,18.515
A000418,OPT-MDK-14,23.04
A000419,OPT-MDK-14,25.92
A000420,OPT-MDK-14,26.45
A000421,OPT-MDK-14,31.68
A000422,OPT-MDK-14,34.56
A000423,OPT-MDK-14,37.03
A000424,OPT-MDK-14,43.2
A000425,OPT-AAA-01-04,35.28
A000426,OPT-MDK-14,55
A000427,OPT-C-01-04,52.9
A000428,OPT-MDK-14,53.24
A000429,OPT-C-01-04,16.56
A000430,OPT-C-01-04,81.25
A000431,OPT-MDK-14,67.76
A000432,OPT-A-01-04,21.632
A000433,OPT-C-01-04,21.875
A000434,OPT-AAAA-01-04,30.618
A000435,OPT-AAAA-01-04,34.263
A000436,OPT-AAAA-01-04,37.908
A000437,OPT-C-01-04,0
A000438,OPT-A-01-04,41.553
A000439,OPT-A-01-04,45.198
A000440,OPT-C-01-04,0
A000441,OPT-AAA-01-04,48.843
A000442,OPT-AAAA-01-04,52.488
A000443,OPT-AAA-01-04,56.133
A000444,OPT-A-01-04,59.778
A000445,OPT-C-01-04,67.068
A000446,OPT-C-01-04,69.984
A000447,OPT-C-01-04,74.358
A000448,OPT-AA-01-04,81.648
A000449,OPT-C-01-04,71.875
A000450,OPT-AAA-01-04,88.938
A000451,OPT-B-01-04,104.272
