uuid,location,quantity
A004510,011609,1.0
A006205,011609,20.0
A008911,011609,2.0
A013691,011609,149.0
A014057,011609,2.0
A014276,011609,1.0
A014514,011609,9.0
A014569,011609,322.0
A015193,011609,2.0
A015759,011609,6.0
A016379,011609,3.0
A018024,011609,3.0
A018028,011609,12.0
A019511,011609,2.0
A020878,011609,2.0
A020881,011609,2.0
A022028,011609,8.0
A022445,011609,3.0
A022485,011609,5.0
A022559,011609,3.0
A024048,011609,3.0
A025380,011609,4.0
A026314,011609,6.0
A027261,011609,1.0
A027824,011609,1.0
A000132,010101,68.0
A000274,010101,33.0
A009606,010101,5.0
A012596,010101,20.0
A017062,010101,5.0
A017601,010101,3.0
A018310,010101,8.0
A021775,010101,3.0
A023008,010101,3.0
A024200,010101,1.0
A026194,010101,10.0
A000134,011808,424.0
A000140,011808,70.0
A000231,011808,5.0
A000583,011808,7.0
A001129,011808,24.0
A001157,011808,3.0
A001175,011808,36.0
A001331,011808,2.0
A001508,011808,1.0
A002018,011808,3.0
A003244,011808,1.0
A004389,011808,5.0
A004495,011808,6.0
A004759,011808,2.0
A004806,011808,29.0
A005134,011808,1.0
A006249,011808,20.0
A006296,011808,30.0
A006301,011808,5.0
A008189,011808,3.0
A008238,011808,14.0
A008717,011808,1.0
A009540,011808,3.0
A010572,011808,1.0
A010971,011808,2.0
A011859,011808,2.0
A012131,011808,1.0
A012526,011808,13.0
A012746,011808,1.0
A012912,011808,8.0
A013282,011808,1.0
A013362,011808,48.0
A013961,011808,46.0
A014072,011808,1.0
A014192,011808,2.0
A015536,011808,3.0
A017145,011808,1.0
A018096,011808,2.0
A018958,011808,2.0
A020204,011808,2.0
A020288,011808,5.0
A020330,011808,2.0
A025795,011808,1.0
A027838,011808,1.0
A029396,011808,1.0
A030062,011808,1.0
A000135,011011,4.0
A000299,011011,71.0
A001756,011011,6.0
A001757,011011,5.0
A001774,011011,5.0
A002154,011011,2.0
A002235,011011,10.0
A004835,011011,1.0
A005808,011011,1.0
A006646,011011,4.0
A007937,011011,1.0
A008527,011011,2.0
A009698,011011,1.0
A009829,011011,3.0
A010277,011011,3.0
A014093,011011,14.0
A016107,011011,2.0
A025371,011011,1.0
A026777,011011,2.0
A029037,011011,2.0
A030317,011011,7.0
A000137,012721,20.0
A001266,012721,9.0
A008379,012721,1.0
A008816,012721,7.0
A012578,012721,3.0
A012700,012721,1.0
A014519,012721,11.0
