location,aisle,x_length,y_width,z_height,heightfromfloor,cell_attractiveness,distance_from_io_to_aisle,fetch_tool,putaway_zone,fetch_zone,cell_volume,available_volume,percent_full
010101,1,1.275,-24.79875,0.0,0.25,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,-0.055581288711019465,2.9671232052923285e-05
010102,1,1.3660714285714286,-24.79875,0.0,0.55,0.0276511803597616,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.003673191428583652,9.577171407384385e-07
010103,1,1.275,-24.79875,0.0,0.8499999999999999,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.15102931699047792,1.0010489250744817e-05
010104,1,1.275,-24.79875,0.0,1.15,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.04158866563874885,0.00016181765756851716
010105,1,1.3660714285714286,-24.79875,0.0,1.45,0.0276511803597616,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.2522323894285714,0.0007867404160792303
010106,1,1.3660714285714286,-24.79875,0.0,1.75,0.0276511803597616,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.43236516023869787,0.004367052992168333
010107,1,1.275,-24.79875,2.175,2.175,0.0004525298966704,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.3072934495267175e-06,1.8921858282947718e-06
010108,1,1.59375,-24.79875,2.6,2.6,0.0003795356286699,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.8636132812499998,0.0026753735535230863,2.7483985883711395e-06
010109,1,1.275,-24.79875,3.025,3.025,0.0003268188798364,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.4756517615005524e-06,2.1358688453770124e-06
010110,1,1.275,-24.79875,3.45,3.45,0.0002869606171661,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,6.741011730587894e-05,1.0334656525233544e-05
010111,1,1.275,-24.79875,3.875,3.875,0.0002557676402142,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.6876186217966505e-05,2.4426711851773216e-05
010112,1,1.275,-24.79875,4.3,4.3,0.0002306912172104,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,2.3570000017162527e-06,3.4115385510061783e-06
010201,1,1.275,-24.79875,0.0,0.25,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.32965922699999994,0.0013756885876281728
010202,1,1.4711538461538465,-24.79875,0.0,0.55,0.0275710684054113,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.08220336700233109,0.17864439133666543
010203,1,1.275,-24.79875,0.0,0.8499999999999999,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.1333506459999999,0.3799592197872611
010204,1,1.4711538461538465,-24.79875,0.0,1.15,0.0275710684054113,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.45426702615384634,0.9825169624674274
010205,1,1.275,-24.79875,0.0,1.45,0.0277209882532312,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4807790079999999,0.9941367740612584
010206,1,1.59375,-24.79875,0.0,1.75,0.0274781891873325,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.6096093749999999,0.5504790230778626,0.9841753320769757
010207,1,1.275,-24.79875,2.175,2.175,0.0004525298966704,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.0066729679999999545,1.686952981878105e-05
010208,1,1.7386363636363635,-24.79875,2.6,2.6,0.0003795356286699,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.9421235795454544,1.9698730642657392e-05,2.0908860653038133e-05
010209,1,1.275,-24.79875,3.45,3.45,0.0002869606171661,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,1.38178125,8.369999999879267e-06,6.057398737954555e-06
010211,1,1.275,-24.79875,4.3,4.3,0.0002306912172104,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,1.38178125,1.8589999999776105e-05,1.3453649048846268e-05
010213,1,1.275,-24.79875,4.95,4.95,0.0002006099042614,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010215,1,1.275,-24.79875,5.6000000000000005,5.6000000000000005,0.0001774686274287,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010217,1,1.275,-24.79875,6.250000000000001,6.250000000000001,0.0001591140845997,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010219,1,1.275,-24.79875,6.900000000000001,6.900000000000001,0.0001442002913206,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010221,1,1.275,-24.79875,7.550000000000002,7.550000000000002,0.0001318426543617,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010223,1,1.275,-24.79875,8.200000000000003,8.200000000000003,0.0001214358760133,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010224,1,1.275,-24.79875,8.65,8.65,0.0001151437159093,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010225,1,1.275,-24.79875,9.1,9.1,0.0001094714867144,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010226,1,1.275,-24.79875,9.55,9.55,0.0001043318723828,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010227,1,1.275,-24.79875,9.999999999999998,9.999999999999998,9.965321925364972e-05,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010301,1,3.825,-24.79875,0.0,0.25,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.47600309599999996,0.9701435611944125
010302,1,4.098214285714286,-24.79875,0.0,0.55,0.0257089471727044,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.5144541004285712,0.9973779416805502
010303,1,3.825,-24.79875,0.0,0.8499999999999999,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.47793469099999986,0.9527540937383735
010304,1,3.825,-24.79875,0.0,1.15,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.44662081899999984,0.9766329155453031
010305,1,4.098214285714286,-24.79875,0.0,1.45,0.0257089471727044,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.5121610864285714,0.9728778859413048
010306,1,4.098214285714286,-24.79875,0.0,1.75,0.0257089471727044,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.4101445424285714,0.9840175842112008
010307,1,3.825,-24.79875,2.175,2.175,0.0004525298966704,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.030014531999999983,2.210190650633581e-06
010308,1,4.78125,-24.79875,2.6,2.6,0.0003795356286699,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.8636132812499998,-0.00031401209705904886,2.9489938950555248e-05
010309,1,3.825,-24.79875,3.025,3.025,0.0003268188798364,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,9.183999999964027e-06,1.32929868602053e-05
010310,1,3.825,-24.79875,3.45,3.45,0.0002869606171661,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.292999999997505e-05,1.8714973878788774e-05
010311,1,3.825,-24.79875,3.875,3.875,0.0002557676402142,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,2.6430000001935656e-06,3.8254969810794085e-06
010312,1,3.825,-24.79875,4.3,4.3,0.0002306912172104,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,6.260279326721798e-06,9.061172782192259e-06
010401,1,3.825,-24.79875,0.0,0.25,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.45312867299999987,0.8173131318723619
010402,1,4.413461538461538,-24.79875,0.0,0.55,0.0255022596473331,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.5265754514937729,0.9334856683728889
010403,1,3.825,-24.79875,0.0,0.8499999999999999,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.429947535,0.8850688914520056
010404,1,4.413461538461538,-24.79875,0.0,1.15,0.0255022596473331,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.4818590261538461,0.8455566208552265
010405,1,3.825,-24.79875,0.0,1.45,0.0258908055276869,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.46690352599999996,0.9826779956427015
010406,1,4.78125,-24.79875,0.0,1.75,0.0252652854977261,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.6096093749999999,0.5640664969999997,0.9526123445854159
010407,1,3.825,-24.79875,2.175,2.175,0.0004525298966704,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,2.3310865168627555e-05,3.3740311888915206e-05
010408,1,5.215909090909091,-24.79875,2.6,2.6,0.0003795356286699,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.9421235795454544,8.634047966850787e-07,9.164453745034646e-07
010409,1,3.825,-24.79875,3.025,3.025,0.0003268188798364,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.2829000000398995e-05,1.8568785761710105e-05
010410,1,1.7386363636363635,-24.79875,3.45,3.45,0.0002869606171661,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.9421235795454544,5.984824780847951e-06,6.352483804444682e-06
010411,1,3.825,-24.79875,3.875,3.875,0.0002557676402142,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,1.715500000004698e-05,2.483026890116939e-05
010412,1,1.9125,-24.79875,4.3,4.3,0.0002306912172104,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,1.0363359375,0.20194187650000014,2.1649833020632636e-05
010413,1,3.825,-24.79875,4.95,4.95,0.0002006099042614,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010415,1,3.825,-24.79875,5.6000000000000005,5.6000000000000005,0.0001774686274287,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010417,1,3.825,-24.79875,6.250000000000001,6.250000000000001,0.0001591140845997,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010419,1,3.825,-24.79875,6.900000000000001,6.900000000000001,0.0001442002913206,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010421,1,3.825,-24.79875,7.550000000000002,7.550000000000002,0.0001318426543617,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010423,1,3.825,-24.79875,8.200000000000003,8.200000000000003,0.0001214358760133,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,1.05665625,1.05665625,1.0
010424,1,3.825,-24.79875,8.65,8.65,0.0001151437159093,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010425,1,3.825,-24.79875,9.1,9.1,0.0001094714867144,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010426,1,3.825,-24.79875,9.55,9.55,0.0001043318723828,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010427,1,3.825,-24.79875,9.999999999999998,9.999999999999998,9.965321925364972e-05,34.79875,ORDER_PICKER,OPT-A-01-04,OPT01-04-LOW,0.73153125,0.73153125,1.0
010501,1,6.375,-24.79875,0.0,0.25,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4353468389999998,0.9221763752402922
010502,1,6.830357142857142,-24.79875,0.0,0.55,0.0240216538050728,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.4862336534285712,0.9778050821478919
010503,1,6.375,-24.79875,0.0,0.8499999999999999,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4502468139999999,0.9232281204664873
010504,1,6.375,-24.79875,0.0,1.15,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.1778822684731187,0.9929134948096886
010505,1,6.830357142857142,-24.79875,0.0,1.45,0.0240216538050728,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.5216284114285713,0.9982892405485069
010506,1,6.830357142857142,-24.79875,0.0,1.75,0.0240216538050728,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5225223214285714,0.4430373214285714,0.8494896834550815
010507,1,6.375,-24.79875,2.175,2.175,0.0004525298966704,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,2.1489000000289235e-05,3.110333129833573e-05
010508,1,7.96875,-24.79875,2.6,2.6,0.0003795356286699,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.8636132812499998,1.1756249999849151e-05,1.36128638304787e-05
010509,1,6.375,-24.79875,3.025,3.025,0.0003268188798364,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.019248602000000097,0.027860563312753155
010510,1,6.375,-24.79875,3.45,3.45,0.0002869606171661,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.007172841000000402,0.010382021032635089
010511,1,6.375,-24.79875,3.875,3.875,0.0002557676402142,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.16275517499999992,0.2355729968111811
010512,1,6.375,-24.79875,4.3,4.3,0.0002306912172104,34.79875,ORDER_PICKER,OPT-B-01-04,OPT01,0.690890625,0.40414087299999996,0.5849563713503856
010601,1,6.375,-24.79875,0.0,0.25,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4854520529999999,0.9765972369601434
010602,1,7.35576923076923,-24.79875,0.0,0.55,0.0237222489604408,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.549553906153846,0.9772527880387885
010603,1,6.375,-24.79875,0.0,0.8499999999999999,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.4722972099999998,0.9711455163398692
010604,1,7.35576923076923,-24.79875,0.0,1.15,0.0237222489604408,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.5627163461538461,0.5521356951538462,0.9472824608654791
010605,1,6.375,-24.79875,0.0,1.45,0.0242873189835757,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.4876874999999999,0.47709606099999985,0.9780483321799308
010606,1,7.96875,-24.79875,0.0,1.75,0.0233822411878178,34.79875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.6096093749999999,0.6087465429999999,0.9985846149429706
