location,location_id
010101,0
010102,1
010103,2
010104,3
010105,4
010106,5
010107,6
010108,7
010109,8
010110,9
010111,10
010112,11
010201,12
010202,13
010203,14
010204,15
010205,16
010206,17
010207,18
010208,19
010209,20
010211,21
010213,22
010215,23
010217,24
010219,25
010221,26
010223,27
010224,28
010225,29
010226,30
010227,31
010301,32
010302,33
010303,34
010304,35
010305,36
010306,37
010307,38
010308,39
010309,40
010310,41
010311,42
010312,43
010401,44
010402,45
010403,46
010404,47
010405,48
010406,49
010407,50
010408,51
010409,52
010410,53
010411,54
010412,55
010413,56
010415,57
010417,58
010419,59
010421,60
010423,61
010424,62
010425,63
010426,64
010427,65
010501,66
010502,67
010503,68
010504,69
010505,70
010506,71
010507,72
010508,73
010509,74
010510,75
010511,76
010512,77
010601,78
010602,79
010603,80
010604,81
010605,82
010606,83
010607,84
010608,85
010609,86
010610,87
010611,88
010612,89
010613,90
010615,91
010617,92
010619,93
010621,94
010623,95
010624,96
010625,97
010626,98
010627,99
010701,100
010702,101
010703,102
010704,103
010705,104
010706,105
010707,106
010708,107
010709,108
010710,109
010711,110
010712,111
010713,112
010801,113
010802,114
010803,115
010804,116
010805,117
010806,118
010807,119
010808,120
010809,121
010810,122
010811,123
010812,124
010813,125
010815,126
010817,127
010819,128
010821,129
010823,130
010824,131
010825,132
010826,133
010827,134
010901,135
010902,136
010903,137
010904,138
010907,139
010908,140
010909,141
010910,142
010911,143
010912,144
010913,145
011001,146
011002,147
011003,148
011004,149
011005,150
011006,151
011007,152
011008,153
011009,154
011010,155
011011,156
011012,157
011013,158
011015,159
011017,160
011019,161
011021,162
011023,163
011024,164
011025,165
011026,166
011027,167
011101,168
011102,169
011103,170
011104,171
011105,172
011106,173
011107,174
011108,175
011109,176
011110,177
011111,178
011112,179
011113,180
011114,181
011115,182
011116,183
011117,184
011118,185
011119,186
011120,187
011121,188
011122,189
011123,190
011124,191
011125,192
011126,193
011127,194
011128,195
011129,196
011130,197
011201,198
011202,199
011203,200
011204,201
011205,202
011206,203
011207,204
011208,205
011209,206
011210,207
011211,208
011212,209
011213,210
011215,211
011217,212
011219,213
011221,214
011223,215
011224,216
011225,217
011226,218
011227,219
011301,220
011302,221
011303,222
011304,223
011305,224
011306,225
011307,226
011308,227
011309,228
011310,229
011311,230
011312,231
011313,232
011314,233
011315,234
011316,235
011317,236
011318,237
011319,238
011320,239
011321,240
011322,241
011323,242
011324,243
011325,244
011326,245
011327,246
011328,247
011329,248
011330,249
011401,250
011403,251
011405,252
011407,253
011408,254
011409,255
011410,256
011411,257
011412,258
011413,259
011415,260
011417,261
011419,262
011421,263
011423,264
011424,265
011425,266
011426,267
011427,268
011501,269
011502,270
011503,271
011504,272
011505,273
011506,274
011507,275
011508,276
011509,277
011510,278
011511,279
011512,280
011513,281
011514,282
011515,283
011516,284
011517,285
011518,286
011519,287
011520,288
011521,289
011522,290
011523,291
011524,292
011525,293
011526,294
011527,295
011528,296
011529,297
011530,298
011601,299
011602,300
011603,301
011604,302
011605,303
011606,304
011607,305
011608,306
011609,307
011610,308
011611,309
011612,310
011613,311
011615,312
011617,313
011619,314
011621,315
011623,316
011624,317
011625,318
011626,319
011627,320
011701,321
011702,322
011703,323
011704,324
011705,325
011706,326
011707,327
011708,328
011709,329
011710,330
011711,331
011712,332
011713,333
011714,334
011715,335
011716,336
011717,337
011718,338
011719,339
011720,340
011721,341
011722,342
011723,343
011724,344
011725,345
011726,346
011727,347
011728,348
011729,349
011730,350
011801,351
011802,352
011803,353
011804,354
011805,355
011806,356
011807,357
011808,358
011809,359
011810,360
011811,361
011812,362
011813,363
011815,364
011817,365
011819,366
011821,367
011823,368
011824,369
011825,370
011826,371
011827,372
011901,373
011902,374
011903,375
011904,376
011905,377
011906,378
011907,379
011908,380
011909,381
011910,382
011911,383
011912,384
011913,385
011914,386
011915,387
011916,388
011917,389
011918,390
011919,391
011920,392
011921,393
011922,394
011923,395
011924,396
011925,397
011926,398
011927,399
011928,400
011929,401
011930,402
012001,403
012002,404
012003,405
012004,406
012005,407
012006,408
012007,409
012008,410
012009,411
012011,412
012013,413
012015,414
012017,415
012019,416
012021,417
012023,418
012024,419
012025,420
012026,421
012027,422
012101,423
012102,424
012103,425
012104,426
012105,427
012106,428
012107,429
012109,430
012110,431
012111,432
012112,433
012113,434
012114,435
012115,436
012116,437
012117,438
012118,439
012119,440
012120,441
012121,442
012122,443
012123,444
012124,445
012125,446
012126,447
012127,448
012128,449
012129,450
012130,451
012201,452
012202,453
012203,454
012204,455
012205,456
012206,457
012207,458
012209,459
012210,460
012211,461
012213,462
012215,463
012217,464
012219,465
012221,466
012223,467
012224,468
012225,469
012226,470
012227,471
012301,472
012302,473
012303,474
012304,475
012305,476
012306,477
012307,478
012309,479
012310,480
012311,481
012312,482
012313,483
012314,484
012315,485
012316,486
012317,487
012318,488
012319,489
012320,490
012321,491
012322,492
012323,493
012324,494
012325,495
012326,496
012327,497
012328,498
012329,499
012330,500
012401,501
012402,502
012403,503
012404,504
012405,505
012406,506
012407,507
012409,508
012411,509
012413,510
012415,511
012417,512
012419,513
012421,514
012423,515
012424,516
012425,517
012426,518
012427,519
012501,520
012502,521
012503,522
012504,523
012505,524
012506,525
012507,526
012508,527
012509,528
012510,529
012511,530
012512,531
012513,532
012514,533
012515,534
012516,535
012517,536
012518,537
012519,538
012520,539
012521,540
012522,541
012523,542
012524,543
012525,544
012526,545
012527,546
012528,547
012529,548
012530,549
012601,550
012602,551
012603,552
012604,553
012605,554
012606,555
012607,556
012609,557
012610,558
012611,559
012612,560
012613,561
012615,562
012616,563
012617,564
012619,565
012621,566
012623,567
012624,568
012625,569
012626,570
012627,571
012701,572
