"location","aisle","bay","loclevel","x_length","y_width","z_height","heightfromfloor","attractiveness","distance_from_io_to_aisle","fetch_tool","putaway_zone","fetch_zone","volume","available_volume"
"010301","01",3,1,3.8249999999999997,-24.798750000000002,0.0,0.25,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010302","01",3,2,4.098214285714286,-24.798750000000002,0.0,0.55,0.025708947172704444,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010303","01",3,3,3.8249999999999997,-24.798750000000002,0.0,0.8499999999999999,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010304","01",3,4,3.8249999999999997,-24.798750000000002,0.0,1.15,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010305","01",3,5,4.098214285714286,-24.798750000000002,0.0,1.45,0.025708947172704444,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010306","01",3,6,4.098214285714286,-24.798750000000002,0.0,1.75,0.025708947172704444,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010307","01",3,7,3.8249999999999997,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010308","01",3,8,4.78125,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.8636132812499998,0.8636132812499998
"010309","01",3,9,3.8249999999999997,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010310","01",3,10,3.8249999999999997,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010311","01",3,11,3.8249999999999997,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010312","01",3,12,3.8249999999999997,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010401","01",4,1,3.8249999999999997,-24.798750000000002,0.0,0.25,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010402","01",4,2,4.413461538461538,-24.798750000000002,0.0,0.55,0.025502259647333176,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
"010403","01",4,3,3.8249999999999997,-24.798750000000002,0.0,0.8499999999999999,0.02589080552768698,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010404","01",4,4,4.413461538461538,-24.798750000000002,0.0,1.15,0.025502259647333176,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
